ٱلْأَوَّلُ - al-ʾAwwal,"The First, The Beginning-less"
اَلْآخِرُ - al-ʾÃkhir,"The Last, The Endless"
ٱلظَّاهِرُ - aẓ-Ẓāhir,"The Manifest, The Evident, The Outer"
ٱلْبَاطِنُ - al-Bāṭin,"The Hidden, The Unmanifest, The Inner"
ٱلْوَالِي - al-Wāliy,"The Patron, The Protecting Friend, The Friendly Lord"
ٱلْمُتَعَالِي - al-Mutʿāliy,"The Supremely Exalted, The Most High"
ٱلْبَرُّ - al-Barr,"The Good, The Beneficent"
ٱلتَّوَّابُ - at-Tawwāb,"The Ever-Returning, Ever-Relenting"
ٱلْمُنْتَقِمُ - al-Muntaqim,The Avenger
اَلْعَفُوُّ - al-ʿAfuww,"The Pardoner, The Effacer, The Forgiver"
اَلرَّؤُوفُ - ar-Raʾūf,"The Kind, The Pitying"
مَـٰلِكُ ٱلْمُلْكِ - Mālik-ul-mulk,The Owner of all Sovereignty
ذُو ٱلْجَلَالِ وَٱلْإِكْرَامُ - Ḏū l-Jalāli wa l-ʾIkrām,"The Owner, Lord of Majesty and Honour"
اَلْمُقْسِطُ - al-Muqsiṭ,"The Equitable, The Requiter"
اَلْجَامِعُ - al-Jāmiʿ,"The Gatherer, The Unifier"
ٱلْغَنيُّ - al-Ghāniyy,"The Rich, The Independent"
اَلْمُغْنِيُّ - al-Mughniyy,"The Enricher, The Emancipator"
اَلْمَانِعُ - al-Māniʿ,"The Preventer, The Withholder, The Shielder, The Defender"
اَلضَّارُ - aḍ-Ḍār,"The Distressor, The Harmer, The Afflictor"
اَلنَّافِعُ - an-Nāfiʿ,"The Propitious, The Benefactor, The Source of Good"
اَلنُّورُ - an-Nūr,The Light
اَلْهَادِي - al-Hādī,"The Guide, The Way"
اَلْبَدِيعُ - al-Badīʿ,"The Originator, The Incomparable, The Unattainable, The Beautiful"
اَلْبَاقِي - al-Bāqī,"The Immutable, The Infinite, The Everlasting"
اَلْوَارِثُ - al-Wāriṯ,"The Heir, The Inheritor of All"
اَلرَّشِيدُ - ar-Rashīd,The Guide to the Right Path
اَلصَّبُورُ - aṣ-Ṣabūr,"The Timeless, The Patient"
